ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,obsdate,obsjd,exptime,filefracday,seeing,airmass,maglimit,crval1,crval2
165.76930992,38.12112628,0,713,3,1,8,1,zg,2018-03-25 06:44:44+00,2458202.7810648,30.0,20180325281053,2.63991,1.008,20.4502,165.7692805455,38.12108239777
165.785939,38.12041167,0,713,3,1,8,1,zg,2018-03-28 06:22:38+00,2458205.7657176,30.0,20180328265660,2.42064,1.008,19.739,165.7858947727,38.12037110719
165.78683523,38.1192027,0,713,3,1,8,1,zg,2018-03-28 06:30:15+00,2458205.7710069,30.0,20180328270961,2.1156,1.008,19.9194,165.7867950575,38.11915687109
165.78652065,38.11462008,0,713,3,1,8,1,zg,2018-03-29 06:19:32+00,2458206.7635648,30.0,20180329263472,1.78434,1.008,19.9829,165.7864756599,38.11456871424
165.7879405,38.11482727,0,713,3,1,8,1,zg,2018-03-29 06:50:34+00,2458206.7851157,30.0,20180329285023,1.7803,1.011,19.988,165.7878796408,38.11479631819
165.77235091,38.11036193,67108865,713,3,1,8,1,zg,2018-03-31 06:50:12+00,2458208.7848611,30.0,20180331284826,2.15832,1.013,18.4382,165.7723242305,38.11030668979
165.77243256,38.10775208,100663297,713,3,1,8,1,zg,2018-03-31 07:36:32+00,2458208.817037,30.0,20180331317002,2.16825,1.045,17.6238,165.7723955095,38.10771646199
165.76856077,38.1278371,67108864,713,3,1,8,1,zg,2018-04-07 06:05:16+00,2458215.7536574,30.0,20180407253611,4.22696,1.009,19.5868,165.7685446446,38.12779500281
165.76840792,38.12782235,67108864,713,3,1,8,1,zg,2018-04-07 06:06:35+00,2458215.7545718,30.0,20180407254572,4.16852,1.009,19.3039,165.7683919057,38.12777070078
165.76790256,38.12894484,0,713,3,1,8,1,zg,2018-04-08 06:13:35+00,2458216.7594329,30.0,20180408259398,3.87204,1.012,20.5519,165.7678821355,38.1289109598
165.77061347,38.13899907,0,713,3,1,8,1,zg,2018-04-21 06:19:17.778+00,2458229.7633912,30.0,20180421263356,3.01583,1.051,20.5645,165.7705791902,38.13895163581
165.77193834,38.12559115,0,713,3,1,8,1,zg,2018-04-22 07:55:34.627+00,2458230.8302546,30.0,20180422330243,2.44351,1.249,20.4077,165.7719016135,38.1255528816
165.77194428,38.12539392,0,713,3,1,8,1,zg,2018-04-22 07:56:53.676+00,2458230.831169,30.0,20180422331169,2.3465,1.253,20.4188,165.7719161235,38.12535699413
165.76945173,38.13587451,0,713,3,1,8,1,zg,2018-04-25 05:18:24.208+00,2458233.7211111,30.0,20180425221076,1.85105,1.016,20.2848,165.7694121259,38.13581579323
165.76936363,38.13592179,0,713,3,1,8,1,zg,2018-04-25 05:19:47.261+00,2458233.7220718,30.0,20180425222037,1.83799,1.017,20.246,165.7693206139,38.13587295589
