     alpha     2/3 F_3/2       F_1/2
     30.00    8.292978E-14    8.292978E-14
     29.00    2.254265E-13    2.254265E-13
     28.00    6.127728E-13    6.127727E-13
     27.00    1.665689E-12    1.665689E-12
     26.00    4.527812E-12    4.527812E-12
     25.00    1.230787E-11    1.230787E-11
     24.00    3.345626E-11    3.345626E-11
     23.00    9.094354E-11    9.094354E-11
     22.00    2.472102E-10    2.472102E-10
     21.00    6.719869E-10    6.719869E-10
     20.00    1.826650E-09    1.826650E-09
     19.00    4.965349E-09    4.965349E-09
     18.00    1.349722E-08    1.349722E-08
     17.00    3.668924E-08    3.668924E-08
     16.00    9.973170E-08    9.973170E-08
     15.00    2.710989E-07    2.710989E-07
     14.00    7.369230E-07    7.369229E-07
     13.00    2.003164E-06    2.003163E-06
     12.00    5.445161E-06    5.445155E-06
     11.00    1.480145E-05    1.480141E-05
     10.00    4.023432E-05    4.023399E-05
      9.00    1.093667E-04    1.093643E-04
      8.00    2.972784E-04    2.972608E-04
      7.00    8.080041E-04    8.078740E-04
      6.00    2.195775E-03    2.194814E-03
      5.00    5.964255E-03    5.957177E-03
      4.00    1.617960E-02    1.612774E-02
      3.00    4.374116E-02    4.336637E-02
      2.00    1.172007E-01    1.145878E-01
      1.00    3.072325E-01    2.905009E-01
     -0.00    7.685359E-01    6.780939E-01
     -1.00    1.774455E+00    1.396375E+00
     -2.00    3.691503E+00    2.502458E+00
     -3.00    6.902477E+00    3.976985E+00
     -4.00    1.175180E+01    5.770727E+00
     -5.00    1.853496E+01    7.837976E+00
     -6.00    2.750733E+01    1.014429E+01
     -7.00    3.889481E+01    1.266464E+01
     -8.00    5.290173E+01    1.538049E+01
     -9.00    6.971616E+01    1.827756E+01
    -10.00    8.951344E+01    2.134447E+01
    -11.00    1.124586E+02    2.457185E+01
    -12.00    1.387080E+02    2.795178E+01
    -13.00    1.684107E+02    3.147746E+01
    -14.00    2.017095E+02    3.514297E+01
    -15.00    2.387415E+02    3.894305E+01
    -16.00    2.796389E+02    4.287300E+01
    -17.00    3.245294E+02    4.692862E+01
    -18.00    3.735367E+02    5.110608E+01
    -19.00    4.267810E+02    5.540187E+01
    -20.00    4.843789E+02    5.981279E+01
    -21.00    5.464440E+02    6.433590E+01
    -22.00    6.130871E+02    6.896844E+01
    -23.00    6.844165E+02    7.370786E+01
    -24.00    7.605377E+02    7.855181E+01
    -25.00    8.415542E+02    8.349805E+01
    -26.00    9.275672E+02    8.854451E+01
    -27.00    1.018676E+03    9.368922E+01
    -28.00    1.114978E+03    9.893032E+01
    -29.00    1.216568E+03    1.042661E+02
    -30.00    1.323541E+03    1.096948E+02
    -31.00    1.435988E+03    1.152150E+02
    -32.00    1.554001E+03    1.208251E+02
    -33.00    1.677668E+03    1.265237E+02
    -34.00    1.807077E+03    1.323094E+02
    -35.00    1.942315E+03    1.381810E+02
    -36.00    2.083468E+03    1.441372E+02
    -37.00    2.230617E+03    1.501768E+02
    -38.00    2.383848E+03    1.562987E+02
    -39.00    2.543242E+03    1.625017E+02
    -40.00    2.708879E+03    1.687849E+02
    -41.00    2.880838E+03    1.751472E+02
    -42.00    3.059199E+03    1.815877E+02
    -43.00    3.244039E+03    1.881054E+02
    -44.00    3.435435E+03    1.946994E+02
    -45.00    3.633463E+03    2.013688E+02
    -46.00    3.838198E+03    2.081128E+02
    -47.00    4.049713E+03    2.149305E+02
    -48.00    4.268083E+03    2.218213E+02
    -49.00    4.493380E+03    2.287842E+02
    -50.00    4.725675E+03    2.358186E+02
    -51.00    4.965041E+03    2.429238E+02
    -52.00    5.211546E+03    2.500990E+02
    -53.00    5.465262E+03    2.573436E+02
    -54.00    5.726256E+03    2.646569E+02
    -55.00    5.994598E+03    2.720382E+02
    -56.00    6.270355E+03    2.794870E+02
    -57.00    6.553594E+03    2.870027E+02
    -58.00    6.844383E+03    2.945846E+02
    -59.00    7.142786E+03    3.022322E+02
    -60.00    7.448869E+03    3.099449E+02
    -61.00    7.762697E+03    3.177221E+02
    -62.00    8.084334E+03    3.255635E+02
    -63.00    8.413845E+03    3.334683E+02
    -64.00    8.751292E+03    3.414362E+02
    -65.00    9.096738E+03    3.494666E+02
    -66.00    9.450245E+03    3.575590E+02
    -67.00    9.811876E+03    3.657129E+02
    -68.00    1.018169E+04    3.739280E+02
    -69.00    1.055975E+04    3.822037E+02
    -70.00    1.094612E+04    3.905397E+02
