Solution of Lane_Emden equation for n=3
       Xi      Theta
      0.10   0.99833584
      0.20   0.99337310
      0.30   0.98519981
      0.40   0.97395825
      0.50   0.95983905
      0.60   0.94307315
      0.70   0.92392284
      0.80   0.90267211
      0.90   0.87961715
      1.00   0.85505760
      1.10   0.82928807
      1.20   0.80259192
      1.30   0.77523559
      1.40   0.74746484
      1.50   0.71950179
      1.60   0.69154412
      1.70   0.66376412
      1.80   0.63630944
      1.90   0.60930425
      2.00   0.58285052
      2.10   0.55703014
      2.20   0.53190684
      2.30   0.50752819
      2.40   0.48392764
      2.50   0.46112657
      2.60   0.43913600
      2.70   0.41795829
      2.80   0.39758867
      2.90   0.37801650
      3.00   0.35922650
      3.10   0.34119970
      3.20   0.32391438
      3.30   0.30734670
      3.40   0.29147151
      3.50   0.27626264
      3.60   0.26169345
      3.70   0.24773718
      3.80   0.23436721
      3.90   0.22155724
      4.00   0.20928161
      4.10   0.19751520
      4.20   0.18623377
      4.30   0.17541388
      4.40   0.16503292
      4.50   0.15506934
      4.60   0.14550240
      4.70   0.13631237
      4.80   0.12748037
      4.90   0.11898854
      5.00   0.11081983
      5.10   0.10295809
      5.20   0.09538799
      5.30   0.08809500
      5.40   0.08106540
      5.50   0.07428617
      5.60   0.06774502
      5.70   0.06143030
      5.80   0.05533105
      5.90   0.04943688
      6.00   0.04373798
      6.10   0.03822511
      6.20   0.03288951
      6.30   0.02772294
      6.40   0.02271761
      6.50   0.01786618
      6.60   0.01316170
      6.70   0.00859763
      6.80   0.00416779
      6.90   0.00000000
