#Table: J/MNRAS/402/620/table7.dat (http://cdsarc.cds.unistra.fr)
---------------------------------------------------------------------------------------------------------------------
S                       |      |     |    |   |     |     |    |    |     |    |    |    | M|    |    |         |
o                       |      |     |   P| Fi|     |    e|    |  e_|     |   e|    |   e|Ty|    |  e_|         |   N
l    SDSS               |Type  |  MJD|late|ber| Teff|_Teff|logg|logg|  Mwd|_Mwd| dwd|_dwd|pe|dsec|dsec|Flag     |otes
------------------------|------|-----|----|---|-----|-----|----|----|-----|----|----|----|--|----|----|---------|----
1SDSSJ000152.09+000644.7|WD/K  |51791| 387|157|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|a/h      |
0SDSSJ000152.09+000644.7|WD/K  |51791| 387|157|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|a/h      |
1SDSSJ000442.00-002011.6|(WD/K)|52943|1539| 21|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |4
0SDSSJ000442.00-002011.6|(WD/K)|52943|1539| 21|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
1SDSSJ000442.00-002011.6|(WD/K)|51791| 387| 24|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
0SDSSJ000442.00-002011.6|(WD/K)|51791| 387| 24|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
1SDSSJ000611.94+003446.5|WD/M  |52519| 686|425|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 981| 193|         |
0SDSSJ000611.94+003446.5|WD/M  |52519| 686|425|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 981| 193|         |
1SDSSJ001029.87+003126.2|DA/M  |52518| 687|347|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2|1272| 303|re/s     |
0SDSSJ001029.87+003126.2|DA/M  |52518| 687|347|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2|1272| 303|s        |
1SDSSJ001029.87+003126.2|WD/M  |51793| 388|545|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2|1164| 277|re/s     |
0SDSSJ001029.87+003126.2|WD/M  |51793| 388|545|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 2|1164| 277|s        |
1SDSSJ001247.18+001048.7|DA/M  |52519| 686|624|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 887| 175|s/e      |
0SDSSJ001247.18+001048.7|DA/M  |52519| 686|624|    0|    0|0.00|0.00| 0.00|0.00|   0|   0| 3| 887| 175|s/e      |
1SDSSJ001247.18+001048.7|DA/M  |52518| 687|395|16149| 7780|9.06|0.95| 1.23|0.48| 397| 367| 3| 807| 159|s/e      |
0SDSSJ001247.18+001048.7|DA/M  |52518| 687|395|19193| 6206|8.68|0.85| 1.03|0.44| 675| 460| 3| 807| 159|s/e      |
1SDSSJ001339.11+001924.9|(WD/M)|51795| 389|431|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
0SDSSJ001339.11+001924.9|(WD/M)|51795| 389|431|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
1SDSSJ001339.11+001924.9|(WD/M)|52518| 687|435|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
0SDSSJ001339.11+001924.9|(WD/M)|52518| 687|435|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
1SDSSJ001339.11+001924.9|(WD/M)|52519| 686|630|    0|    0|0.00|0.00| 0.00|0.00|   0|   0|-1|   0|   0|         |
