RT And    A F8V     1.240 0.030 1.260 0.015 3.785 0.015  0.290 0.060  4.00 0.15
RT And    B K3      0.910 0.020 0.900 0.013 3.675 0.010 -0.435 0.040  6.20 0.20
BW Aqr    B F7V     1.390 0.020 1.790 0.040 3.810 0.007  0.700 0.030  2.98 0.09
KP Aql    A F0      1.620 0.030 1.830 0.040                           2.51 0.08
KP Aql    B F0      1.620 0.030 1.830 0.040                           2.51 0.08
V805 Aql  A A2      2.110 0.040 2.110 0.120 3.913 0.030  1.250 0.030       
V805 Aql  B (A9)    1.630 0.020 1.750 0.120 3.856 0.030  0.860 0.030       
sig Aql   A B3      6.800 0.100 4.220 0.060 4.267 0.348  3.270 1.390       
sig Aql   B B3      5.400 0.100 3.050 0.110 4.200 0.133  2.720 0.530       
V539 Ara  A B3V     6.240 0.070 4.500 0.080 4.258 0.012  3.290 0.050 -1.74 0.13
V539 Ara  B B4V     5.310 0.060 3.420 0.080 4.233 0.013  2.950 0.060 -0.99 0.14
WW Aur    A A5m     1.987 0.034 1.883 0.038 3.910 0.015  1.140 0.060  1.86 0.16
WW Aur    B A7m     1.799 0.025 1.883 0.038 3.890 0.015  1.060 0.060  2.05 0.16
AR Aur    A B9V     2.480 0.098 1.781 0.036 4.039 0.012  1.610 0.050  1.11 0.13
HP Aur    A G2V     0.985 0.011 1.050 0.012 3.763 0.006  0.042 0.030  4.68 0.09
HP Aur    B G8V     0.807 0.010 0.821 0.009 3.721 0.008 -0.335 0.032  5.70 0.09
HS Aur    A G8      0.898 0.019 1.005 0.023 3.728 0.006 -0.131 0.031  5.16 0.08
HS Aur    B K0      0.877 0.017 0.874 0.030 3.716 0.006 -0.301 0.038  5.65 0.09
bet Aur   A A2V     2.410 0.030 2.900 0.200 3.958 0.010  1.699 0.052  0.58 0.13
bet Aur   B A2V     2.320 0.030 2.600 0.200 3.958 0.010  1.613 0.053  0.78 0.15
ZZ Boo    A F2      1.620 0.010 2.150 0.070 3.824 0.002  0.910 0.030  2.36 0.08
ZZ Boo    B F2      1.570 0.010 2.150 0.070 3.824 0.002  0.910 0.030  2.36 0.08
AD Boo    A F6V     1.438 0.016 1.614 0.012 3.805 0.006  0.590 0.030  3.20 0.11
AD Boo    B G0V     1.237 0.013 1.211 0.018 3.775 0.007  0.220 0.040  4.18 0.12
SZ Cam    A O9.5V  18.500 0.700 8.500 0.300 4.473 0.007  4.730 0.040 -4.16 0.11
SZ Cam    B B0V    16.100 0.600 7.900 0.300 4.434 0.008  4.520 0.050 -3.88 0.14
TU Cam    B F0V     1.500 0.100 1.520 0.040 3.859 0.014  0.750 0.050       
WW Cam    A A4m     1.920 0.013 1.911 0.016 3.922 0.007  1.200 0.030  1.67 0.06
WW Cam    B A4m     1.873 0.018 1.808 0.014 3.916 0.007  1.130 0.030  1.84 0.06
AN Cam    A (G8)    1.400 0.140 2.300 0.230 3.740 0.030  0.634 0.148  3.40 0.10
AN Cam    B (G0)    1.400 0.140 1.700 0.170 3.780 0.030  0.532 0.148  3.60 0.10
AS Cam    A B8V     3.310 0.070 2.700 0.200 4.088 0.030  2.170 0.140  0.14 0.20
AS Cam    B B9V     2.510 0.050 2.000 0.150 4.001 0.015  1.560 0.090  0.98 0.20
AY Cam    A A8      1.950 0.050 2.760 0.040 3.870 0.030  1.314 0.121       
AY Cam    B F0      1.710 0.040 2.130 0.090 3.840 0.030  0.969 0.125       
SW CMa    A A5      2.220 0.050 3.010 0.030 3.908 0.013  1.540 0.050  0.78 0.09
SW CMa    B A5      2.030 0.050 2.460 0.030 3.904 0.020  1.350 0.080  1.22 0.10
CW CMa    A A0V     2.092 0.015 1.885 0.038 4.008 0.020  1.536 0.080  1.10 0.20
CW CMa    B A0V     1.977 0.016 1.789 0.072 3.990 0.022  1.416 0.080  1.40 0.20
GZ CMa    A A3m     2.206 0.019 2.492 0.032 3.945 0.017  1.530 0.070  0.96 0.17
GZ CMa    B A4V     2.005 0.018 2.131 0.037 3.931 0.017  1.330 0.070  1.42 0.17
DW Car    A B1V    11.340 0.120 4.558 0.045 4.446 0.016  4.055 0.063       
DW Car    B B1V    10.630 0.140 4.297 0.055 4.423 0.016  3.915 0.067       
EM Car    A O8V    22.890 0.320 9.350 0.170 4.531 0.026  5.000 0.100 -4.60 0.30
EM Car    B O8V    21.420 0.330 8.340 0.160 4.531 0.026  4.900 0.100 -4.30 0.30
QX Car    A B2V     9.267 0.122 4.289 0.091 4.377 0.009  3.720 0.040 -2.32 0.10
QX Car    B B2V     8.480 0.122 4.051 0.091 4.354 0.010  3.580 0.040 -2.07 0.11
YZ Cas    A A1m     2.314 0.021 2.534 0.026 3.964 0.014  1.620 0.060  0.77 0.14
